County,Years,Population
Nassau,2017,80456
Okaloosa,2017,195488
Okeechobee,2017,41140
Orange,2017,1313880
Osceola,2017,337614
Palm Beach,2017,1414144
Pasco,2017,505709
Pinellas,2017,962003
Polk,2017,661645
Putnam,2017,73176
Santa Rosa,2017,170835
Sarasota,2017,407260
Seminole,2017,454757
St. Johns,2017,229715
St. Lucie,2017,297634
Sumter,2017,120700
Suwannee,2017,44690
Taylor,2017,22295
Union,2017,15947
Volusia,2017,523405
Wakulla,2017,31909
Walton,2017,65301
Washington,2017,24985
Florida Total,2017,20484142
Alachua,2016,257062
Baker,2016,26965
Bay,2016,176016
Bradford,2016,27440
Brevard,2016,568919
Broward,2016,1854513
Calhoun,2016,14580
Charlotte,2016,170450
Citrus,2016,143054
Clay,2016,205321
Collier,2016,350202
Columbia,2016,68566
DeSoto,2016,35141
Dixie,2016,16773
Duval,2016,923647
Escambia,2016,309986
Flagler,2016,103095
Franklin,2016,11916
Gadsden,2016,48486
Gilchrist,2016,16848
Glades,2016,13047
Gulf,2016,16628
Hamilton,2016,14665
Hardee,2016,27637
Hendry,2016,38370
Hernando,2016,179503
Highlands,2016,101531
Hillsborough,2016,1352797
Holmes,2016,20003
Indian River,2016,146410
Jackson,2016,50345
Jefferson,2016,14498
Lafayette,2016,8621
Lake,2016,323985
Lee,2016,680539
Leon,2016,287671
Levy,2016,40553
Liberty,2016,8736
Madison,2016,19238
Manatee,2016,357591
Marion,2016,345749
Martin,2016,150870
Miami-Dade,2016,2700794
Monroe,2016,76047
Nassau,2016,77841
Okaloosa,2016,192925
Okeechobee,2016,40806
Orange,2016,1280387
Osceola,2016,322862
Palm Beach,2016,1391741
Pasco,2016,495868
Pinellas,2016,954569
Polk,2016,646989
Putnam,2016,72972
Santa Rosa,2016,220257
Sarasota,2016,292826
Seminole,2016,167009
St. Johns,2016,399538
St. Lucie,2016,449124
Sumter,2016,118577
Suwannee,2016,44349
Taylor,2016,22478
Union,2016,15887
Volusia,2016,517411
Wakulla,2016,31599
Walton,2016,62943
Washington,2016,24888
Florida Total,2016,20148654
Alachua,2015,254893
Baker,2015,27017
Bay,2015,173310
Bradford,2015,27310
Brevard,2015,561714
Broward,2015,1827367
Calhoun,2015,14549
Charlotte,2015,167141
Citrus,2015,141501
Clay,2015,201277
Collier,2015,343802
Columbia,2015,68163
DeSoto,2015,34777
Dixie,2015,16468
Duval,2015,905574
Escambia,2015,306944
Flagler,2015,101353
Franklin,2015,11840
Gadsden,2015,48315
Gilchrist,2015,16839
Glades,2015,12853
Gulf,2015,16346
Hamilton,2015,14630
Hardee,2015,27645
Hendry,2015,38096
Hernando,2015,176819
Highlands,2015,100748
Hillsborough,2015,1325563
Holmes,2015,19902
Indian River,2015,143326
Jackson,2015,50458
Jefferson,2015,14519
Lafayette,2015,8664
Lake,2015,316569
Lee,2015,665845
Leon,2015,284443
Levy,2015,40448
Liberty,2015,8698
Madison,2015,19200
Manatee,2015,349334
Marion,2015,341205
Martin,2015,150062
Miami-Dade,2015,2653934
Monroe,2015,74206
Nassau,2015,76536
Okaloosa,2015,191898
Okeechobee,2015,40052
Orange,2015,1252396
Osceola,2015,308327
Palm Beach,2015,1378417
Pasco,2015,487588
Pinellas,2015,944971
Polk,2015,633052
Putnam,2015,72756
Santa Rosa,2015,213566
Sarasota,2015,287749
Seminole,2015,162925
St. Johns,2015,392090
St. Lucie,2015,442903
Sumter,2015,115657
Suwannee,2015,44452
Taylor,2015,22824
Union,2015,15918
Volusia,2015,510494
Wakulla,2015,31283
Walton,2015,60687
Washington,2015,24975
Florida Total,2015,19815183
Alachua,2014,250730
Baker,2014,26991
Bay,2014,170781
Bradford,2014,27323
Brevard,2014,552427
Broward,2014,1803903
Calhoun,2014,14592
Charlotte,2014,164467
Citrus,2014,140798
Clay,2014,197403
Collier,2014,336783
Columbia,2014,67826
DeSoto,2014,34426
Dixie,2014,16356
Duval,2014,890066
Escambia,2014,303907
Flagler,2014,99121
Franklin,2014,11794
Gadsden,2014,48096
Gilchrist,2014,16853
Glades,2014,12852
Gulf,2014,16543
Hamilton,2014,14351
Hardee,2014,27712
Hendry,2014,37895
Hernando,2014,174955
Highlands,2014,99818
Hillsborough,2014,1301887
Holmes,2014,20025
Indian River,2014,140955
Jackson,2014,50231
Jefferson,2014,14597
Lafayette,2014,8696
Lake,2014,309736
Lee,2014,653485
Leon,2014,281292
Levy,2014,40473
Liberty,2014,8668
Madison,2014,19303
Manatee,2014,339545
Marion,2014,337455
Martin,2014,148585
Miami-Dade,2014,2613692
Monroe,2014,74044
Nassau,2014,75321
Okaloosa,2014,190666
Okeechobee,2014,39828
Orange,2014,1227995
Osceola,2014,295553
Palm Beach,2014,1360238
Pasco,2014,479340
Pinellas,2014,933258
Polk,2014,623174
Putnam,2014,72523
Santa Rosa,2014,207443
Sarasota,2014,282821
Seminole,2014,159785
St. Johns,2014,387140
St. Lucie,2014,437086
Sumter,2014,111125
Suwannee,2014,44168
Taylor,2014,22932
Union,2014,15647
Volusia,2014,503851
Wakulla,2014,31285
Walton,2014,59793
Washington,2014,24959
Florida Total,2014,19507369
Alachua,2013,248002
Baker,2013,26881
Bay,2013,169866
Bradford,2013,27217
Brevard,2013,548424
Broward,2013,1784715
Calhoun,2013,14621
Charlotte,2013,163679
Citrus,2013,140519
Clay,2013,192843
Collier,2013,333663
Columbia,2013,67489
DeSoto,2013,34367
Dixie,2013,16263
Duval,2013,876075
Escambia,2013,301120
Flagler,2013,97843
Franklin,2013,11562
Gadsden,2013,47588
Gilchrist,2013,16880
Glades,2013,12658
Gulf,2013,16106
Hamilton,2013,14507
Hardee,2013,27682
Hendry,2013,37808
Hernando,2013,173808
Highlands,2013,99092
Hillsborough,2013,1276410
Holmes,2013,20022
Indian River,2013,139586
Jackson,2013,50166
Jefferson,2013,14554
Lafayette,2013,8618
Lake,2013,303317
Lee,2013,643367
Leon,2013,278377
Levy,2013,40304
Liberty,2013,8483
Madison,2013,19395
Manatee,2013,333880
Marion,2013,335008
Martin,2013,148077
Miami-Dade,2013,2582375
Monroe,2013,73560
Nassau,2013,74661
Okaloosa,2013,188349
Okeechobee,2013,39762
Orange,2013,1202978
Osceola,2013,288361
Palm Beach,2013,1345652
Pasco,2013,473566
Pinellas,2013,926610
Polk,2013,613950
Putnam,2013,72605
Santa Rosa,2013,201541
Sarasota,2013,281151
Seminole,2013,157317
St. Johns,2013,385292
St. Lucie,2013,431074
Sumter,2013,105104
Suwannee,2013,43873
Taylor,2013,23018
Union,2013,15483
Volusia,2013,498978
Wakulla,2013,30869
Walton,2013,57779
Washington,2013,24793
Florida Total,2013,19259543
Alachua,2012,246770
Baker,2012,26938
Bay,2012,169392
Bradford,2012,27239
Brevard,2012,545625
Broward,2012,1771099
Calhoun,2012,14641
Charlotte,2012,163357
Citrus,2012,140761
Clay,2012,192071
Collier,2012,329849
Columbia,2012,67729
DeSoto,2012,34408
Dixie,2012,16298
Duval,2012,869729
Escambia,2012,299511
Flagler,2012,97160
Franklin,2012,11530
Gadsden,2012,47506
Gilchrist,2012,16946
Glades,2012,12671
Gulf,2012,15907
Hamilton,2012,14836
Hardee,2012,27762
Hendry,2012,38132
Hernando,2012,173104
Highlands,2012,98955
Hillsborough,2012,1256118
Holmes,2012,19984
Indian River,2012,139446
Jackson,2012,49847
Jefferson,2012,14478
Lafayette,2012,8663
