County,Years,Rate
Florida,2020,13.1031885450727
Alachua,2020,12.1820549904806
Baker,2020,14.9890508452651
Bay,2020,22.5762001060134
Bradford,2020,20.6755271410424
Brevard,2020,16.5950644517994
Broward,2020,10.4270062924207
Calhoun,2020,6.67518463810931
Charlotte,2020,15.6225400712606
Citrus,2020,23.8974495697919
Clay,2020,13.0301902565269
Collier,2020,15.7551911655871
Columbia,2020,22.5221542225165
Miami-Dade,2020,6.78776398603505
DeSoto,2020,10.0434743919886
Dixie,2020,27.3518655091782
Duval,2020,15.513927520878
Escambia,2020,19.2538340909879
Flagler,2020,20.8745498246244
Franklin,2020,0
Gadsden,2020,7.49797094763818
Gilchrist,2020,27.0759110486427
Glades,2020,14.8527713260099
Gulf,2020,21.9824444462666
Hamilton,2020,31.0840903539375
Hardee,2020,6.24189425548669
Hendry,2020,11.9314980860805
Hernando,2020,17.874553012151
Highlands,2020,25.2134654188184
Hillsborough,2020,12.2021005415957
Holmes,2020,35.1458215977552
Indian River,2020,16.5524350568376
Jackson,2020,26.2189420167255
Jefferson,2020,29.4668496873462
Lafayette,2020,0
Lake,2020,17.8124169730461
Lee,2020,15.0978297355464
Leon,2020,12.6185778941165
Levy,2020,15.623530394319
Liberty,2020,13.7273269093616
Madison,2020,15.2967275321937
Manatee,2020,14.2047603776641
Marion,2020,21.921267742309
Martin,2020,13.8850835533843
Monroe,2020,27.2401273755596
Nassau,2020,22.668541091782
Okaloosa,2020,19.859664921901
Okeechobee,2020,15.1787490695566
Orange,2020,8.9037644051223
Osceola,2020,9.23550499140327
Palm Beach,2020,10.3256176649384
Pasco,2020,17.3139879983203
Pinellas,2020,16.5186783157525
Polk,2020,12.8371135079088
Putnam,2020,31.5830717882865
St. Johns,2020,16.4585376737132
St. Lucie,2020,11.1994110572844
Santa Rosa,2020,25.8063347097045
Sarasota,2020,15.9202073876387
Seminole,2020,11.4290115544983
Sumter,2020,7.03190165361163
Suwannee,2020,19.6003683584799
Taylor,2020,13.0037142687446
Union,2020,36.554304343006
Volusia,2020,19.4746456751127
Wakulla,2020,13.3913214621485
Walton,2020,11.0440505676167
Washington,2020,18.069471813427
Florida,2019,14.4931912942018
Alachua,2019,11.9216193025763
Baker,2019,16.0740822170511
Bay,2019,17.9224439826241
Bradford,2019,22.3828635224474
Brevard,2019,19.5498531230775
