County,Years,Rate,Count
Alachua,2017,6.4,17
Baker,2017,0,0
Bay,2017,12.5,23
Bradford,2017,2.3,1
Brevard,2017,9.9,63
Broward,2017,6,120
Calhoun,2017,15.4,3
Charlotte,2017,4.6,10
Citrus,2017,7.2,11
Clay,2017,7.4,16
Collier,2017,7.8,27
Columbia,2017,5.5,4
Miami-Dade,2017,4,124
DeSoto,2017,0,0
Dixie,2017,0,0
Duval,2017,7,68
Escambia,2017,10.3,30
Flagler,2017,21.2,21
Franklin,2017,0,0
Gadsden,2017,2.3,1
Gilchrist,2017,0,0
Glades,2017,0,0
Gulf,2017,0,0
Hamilton,2017,0,0
Hardee,2017,0,0
Hendry,2017,0,0
Hernando,2017,6.3,14
Highlands,2017,7.1,8
Hillsborough,2017,6.3,93
Holmes,2017,0,0
Indian River,2017,13.9,16
Jackson,2017,5.3,3
Jefferson,2017,3.7,1
Lafayette,2017,0,0
Lake,2017,11.2,35
Lee,2017,6.2,42
Leon,2017,6,19
Levy,2017,5.6,3
Liberty,2017,0,0
Madison,2017,0,0
Manatee,2017,6.8,26
Marion,2017,7.4,25
Martin,2017,5.9,10
Monroe,2017,12.6,11
Nassau,2017,4.9,4
Okaloosa,2017,8.7,18
Okeechobee,2017,9.5,4
Orange,2017,5.3,73
Osceola,2017,5.8,20
Palm Beach,2017,7.8,123
Pasco,2017,8.1,41
Pinellas,2017,9,89
Polk,2017,5.9,43
Putnam,2017,10,6
St. Johns,2017,8.6,23
St. Lucie,2017,7.1,21
Santa Rosa,2017,7.5,13
Sarasota,2017,9.8,38
Seminole,2017,6,29
Sumter,2017,7.9,9
Suwannee,2017,6.6,2
Taylor,2017,2.9,1
Union,2017,16.5,3
Volusia,2017,11.9,56
Wakulla,2017,0,0
Walton,2017,6.8,4
Washington,2017,12.2,3
Alachua,2016,4.9,12
Baker,2016,3.6,1
Bay,2016,9,16
Bradford,2016,3.6,1
Brevard,2016,13.3,68
Broward,2016,7,138
Calhoun,2016,8.4,1
Charlotte,2016,7.7,13
Citrus,2016,5.4,7
Clay,2016,5.5,12
Collier,2016,5.2,17
Columbia,2016,0.9,1
Miami-Dade,2016,4.8,143
DeSoto,2016,7.7,3
Dixie,2016,11.8,2
Duval,2016,5.8,56
Escambia,2016,8.2,25
Flagler,2016,14,13
Franklin,2016,12.8,2
Gadsden,2016,2.3,1
Gilchrist,2016,13.9,2
Glades,2016,16.5,2
Gulf,2016,0,0
Hamilton,2016,0,0
Hardee,2016,19.2,5
Hendry,2016,11,4
Hernando,2016,6.4,10
Highlands,2016,5.2,7
Hillsborough,2016,5.4,76
Holmes,2016,6.7,1
Indian River,2016,6.9,13
Jackson,2016,4.4,2
Jefferson,2016,0,0
Lafayette,2016,0,0
Lake,2016,4.7,17
Lee,2016,6.9,44
Leon,2016,3.6,11
Levy,2016,3.2,1
Liberty,2016,0,0
Madison,2016,0,0
Manatee,2016,9.1,33
Marion,2016,6.9,22
Martin,2016,12,17
Monroe,2016,11.5,9
Nassau,2016,13.1,8
Okaloosa,2016,6.1,11
Okeechobee,2016,5.9,3
Orange,2016,5.3,69
Osceola,2016,5.4,17
Palm Beach,2016,9.1,133
Pasco,2016,9.7,51
Pinellas,2016,10.4,106
Polk,2016,6.5,43
Putnam,2016,10.9,6
St. Johns,2016,5.6,15
St. Lucie,2016,8.5,25
Santa Rosa,2016,9.7,16
Sarasota,2016,9.2,41
Seminole,2016,7.2,36
Sumter,2016,5.9,8
Suwannee,2016,1.4,1
Taylor,2016,0,0
Union,2016,11.2,2
Volusia,2016,8.9,46
Wakulla,2016,3.9,1
Walton,2016,7.3,4
Washington,2016,9.8,3
Alachua,2015,6.2,16
Baker,2015,3.5,1
Bay,2015,9.6,17
Bradford,2015,25.2,6
Brevard,2015,9.7,58
Broward,2015,5.7,113
Calhoun,2015,0,0
Charlotte,2015,9.8,15
Citrus,2015,6,10
Clay,2015,7.4,16
Collier,2015,7.1,25
Columbia,2015,6,4
Miami-Dade,2015,4.9,146
DeSoto,2015,9.8,3
Dixie,2015,2.9,1
Duval,2015,7.5,69
Escambia,2015,9,28
Flagler,2015,12.1,10
Franklin,2015,5.2,1
Gadsden,2015,2.7,2
Gilchrist,2015,8.6,2
Glades,2015,0,0
Gulf,2015,10.7,2
Hamilton,2015,7.1,1
Hardee,2015,7,2
Hendry,2015,5,2
Hernando,2015,10.7,18
Highlands,2015,12.7,11
Hillsborough,2015,6.7,91
Holmes,2015,6.7,1
Indian River,2015,4.7,9
Jackson,2015,14.1,7
Jefferson,2015,10.1,1
Lafayette,2015,0,0
Lake,2015,8.1,26
Lee,2015,9.7,66
Leon,2015,5.9,19
Levy,2015,12.7,6
Liberty,2015,0,0
Madison,2015,10.4,2
Manatee,2015,9.4,34
Marion,2015,12.8,39
Martin,2015,4.4,9
Monroe,2015,11.8,9
Nassau,2015,6.8,5
Okaloosa,2015,8.1,16
Okeechobee,2015,2.5,1
Orange,2015,6.1,79
Osceola,2015,5.2,16
Palm Beach,2015,9.2,139
Pasco,2015,9.1,51
Pinellas,2015,8.6,89
Polk,2015,6.5,40
Putnam,2015,2.9,2
St. Johns,2015,7.2,15
St. Lucie,2015,9.1,26
Santa Rosa,2015,6.5,10
Sarasota,2015,10,44
Seminole,2015,4.4,22
Sumter,2015,13.2,10
Suwannee,2015,9.9,4
Taylor,2015,2.8,1
Union,2015,0,0
Volusia,2015,10,54
Wakulla,2015,0,0
Walton,2015,5.5,3
Washington,2015,4.9,1
Alachua,2014,5.1,15
Baker,2014,12.5,3
Bay,2014,8.6,15
Bradford,2014,8.3,2
Brevard,2014,8.1,50
Broward,2014,5.8,120
Calhoun,2014,0,0
Charlotte,2014,4,6
Citrus,2014,7.2,7
Clay,2014,6.8,14
Collier,2014,5.4,18
Columbia,2014,6.8,5
Miami-Dade,2014,5.1,144
DeSoto,2014,10.2,4
Dixie,2014,9,2
Duval,2014,5.4,51
Escambia,2014,7.7,22
Flagler,2014,10.8,11
Franklin,2014,0,0
Gadsden,2014,4.6,2
Gilchrist,2014,0,0
Glades,2014,0,0
Gulf,2014,9,2
Hamilton,2014,9.2,1
Hardee,2014,0,0
Hendry,2014,5,2
Hernando,2014,7.8,13
Highlands,2014,9.3,9
Hillsborough,2014,7.6,104
Holmes,2014,13.6,3
Indian River,2014,11.1,16
Jackson,2014,4.8,3
Jefferson,2014,0,0
Lafayette,2014,0,0
Lake,2014,6.2,21
Lee,2014,12.2,79
Leon,2014,2.8,7
Levy,2014,11.9,5
Liberty,2014,0,0
Madison,2014,0,0
Manatee,2014,7.1,26
Marion,2014,6.3,23
Martin,2014,9.1,15
Monroe,2014,6.7,6
Nassau,2014,7,5
Okaloosa,2014,5,9
Okeechobee,2014,11.2,4
Orange,2014,5.9,76
Osceola,2014,4.8,15
Palm Beach,2014,7.7,119
Pasco,2014,12,57
Pinellas,2014,8.7,94
Polk,2014,7,45
Putnam,2014,10.8,8
St. Johns,2014,8,18
St. Lucie,2014,6.8,20
Santa Rosa,2014,9.9,17
Sarasota,2014,8.4,30
Seminole,2014,6.2,27
Sumter,2014,10.7,10
Suwannee,2014,2.3,1
Taylor,2014,4.1,1
Union,2014,7.6,1
Volusia,2014,9.9,50
Wakulla,2014,2.7,1
Walton,2014,7.2,4
Washington,2014,3.7,1
Alachua,2013,6.3,15
Baker,2013,3.5,1
Bay,2013,6.2,10
Bradford,2013,10,3
Brevard,2013,9.6,55
Broward,2013,6.1,118
Calhoun,2013,0,0
Charlotte,2013,5,7
Citrus,2013,8.1,13
Clay,2013,7.9,15
Collier,2013,5.8,20
Columbia,2013,4.7,3
Miami-Dade,2013,4.3,117
DeSoto,2013,8.4,3
Dixie,2013,12.1,2
Duval,2013,6.3,57
Escambia,2013,6.3,19
Flagler,2013,6.1,6
Franklin,2013,7.5,1
Gadsden,2013,5.9,3
Gilchrist,2013,8.8,1
Glades,2013,10.2,1
Gulf,2013,0,0
Hamilton,2013,0,0
Hardee,2013,3.3,1
Hendry,2013,2.5,1
Hernando,2013,10.2,17
Highlands,2013,11.3,9
Hillsborough,2013,6,79
Holmes,2013,0,0
Indian River,2013,6.9,9
Jackson,2013,5,3
Jefferson,2013,0,0
Lafayette,2013,0,0
Lake,2013,5.9,20
Lee,2013,8.3,53
Leon,2013,5.1,13
Levy,2013,8.5,3
Liberty,2013,0,0
Madison,2013,5.5,1
Manatee,2013,9.3,37
Marion,2013,6.5,21
Martin,2013,12.9,17
Monroe,2013,27.3,19
Nassau,2013,8.6,7
Okaloosa,2013,9.4,17
Okeechobee,2013,2.5,1
Orange,2013,5.1,63
Osceola,2013,4.6,14
Palm Beach,2013,7.2,109
Pasco,2013,8.7,43
Pinellas,2013,8,82
Polk,2013,5.2,30
Putnam,2013,11.3,7
St. Johns,2013,7.2,17
St. Lucie,2013,5.4,15
Santa Rosa,2013,7.6,12
Sarasota,2013,13.1,50
Seminole,2013,6.8,30
Sumter,2013,12.8,12
Suwannee,2013,8.8,4
Taylor,2013,4,1
Union,2013,22.4,4
Volusia,2013,8.6,46
Wakulla,2013,2.7,1
Walton,2013,0,0
Washington,2013,4.2,1
Alachua,2012,7.9,18
Baker,2012,3.5,1
Bay,2012,8.9,17
Bradford,2012,11,3
Brevard,2012,11,63
Broward,2012,6.1,115
Calhoun,2012,0,0
Charlotte,2012,8.1,9
Citrus,2012,8.6,10
Clay,2012,7.1,14
Collier,2012,7.1,23
Columbia,2012,2.7,2
Miami-Dade,2012,4.7,128
DeSoto,2012,3.2,1
Dixie,2012,8.8,2
Duval,2012,6.3,57
Escambia,2012,8.3,23
Flagler,2012,6.7,6
Franklin,2012,5.2,1
