County,Years,Gender,Rate,Count
St. Johns,2018,Male,39.8,49
St. Lucie,2018,Male,25.2,44
Santa Rosa,2018,Male,32.7,29
Sarasota,2018,Male,35.3,81
Seminole,2018,Male,23.1,56
Sumter,2018,Male,16.1,15
Suwannee,2018,Male,27.9,7
Taylor,2018,Male,40.1,6
Union,2018,Male,8,1
Volusia,2018,Male,31.1,100
Wakulla,2018,Male,22.3,4
Walton,2018,Male,23.6,9
Washington,2018,Male,48.7,7
Alachua,2017,Male,22.8,27
Baker,2017,Male,13.6,2
Bay,2017,Male,34.6,32
Bradford,2017,Male,9.2,2
Brevard,2017,Male,33.6,107
Broward,2017,Male,16.9,162
Calhoun,2017,Male,0,0
Charlotte,2017,Male,26,25
Citrus,2017,Male,38.4,33
Clay,2017,Male,28.1,29
Collier,2017,Male,24,43
Columbia,2017,Male,17.3,7
Miami-Dade,2017,Male,13.6,195
DeSoto,2017,Male,18.5,4
Dixie,2017,Male,16.9,2
Duval,2017,Male,25.3,120
Escambia,2017,Male,41,60
Flagler,2017,Male,50.6,24
Franklin,2017,Male,21.5,2
Gadsden,2017,Male,4.2,1
Gilchrist,2017,Male,32.3,3
Glades,2017,Male,0,0
Gulf,2017,Male,0,0
Hamilton,2017,Male,0,0
Hardee,2017,Male,7.5,1
Hendry,2017,Male,24.8,5
Hernando,2017,Male,20.3,22
Highlands,2017,Male,31.8,20
Hillsborough,2017,Male,20.9,146
Holmes,2017,Male,37.3,5
Indian River,2017,Male,38.6,28
Jackson,2017,Male,19.5,6
Jefferson,2017,Male,0,0
Lafayette,2017,Male,0,0
Lake,2017,Male,36,66
Lee,2017,Male,23.7,95
Leon,2017,Male,17.8,24
Levy,2017,Male,27.7,6
Liberty,2017,Male,28,1
Madison,2017,Male,16,2
Manatee,2017,Male,23,49
Marion,2017,Male,37.2,69
Martin,2017,Male,26.6,23
Monroe,2017,Male,31.6,16
Nassau,2017,Male,28,12
Okaloosa,2017,Male,37.4,39
Okeechobee,2017,Male,21.3,5
Orange,2017,Male,17.8,114
