"Age-adjusted Suicide Deaths, Rate Per 100,000 Population, Male",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,2020,,2019,,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011,
County,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Orange,102,14.4,108,15.4,112,16.7,114,17.8,97,15.4,101,16.5,100,15.9,84,14.4,94,17.2,92,17.4
Osceola,29,14.7,40,21.7,33,18.5,32,19,27,17,24,17.3,28,18.8,24,17.2,26,20.5,34,26.5
Palm Beach,138,17.3,172,21.5,190,24.5,142,18.3,156,21.6,156,21.6,177,23.5,151,21,147,21,143,20.6
Pasco,71,24.1,92,33.6,98,36.4,76,28,78,27.4,74,27,93,37,65,24.9,63,26.6,77,31.4
Pinellas,122,23.7,139,25.2,164,30,130,24.9,141,26.7,150,28.2,145,26.4,124,24.9,133,26.7,136,25.7
Polk,76,21.3,100,27.6,76,22.7,74,21.7,70,21.1,77,23.5,67,20.8,68,22.1,53,17.4,66,21.4
Putnam,19,53.6,10,22,16,39.5,16,41,11,33.2,10,24.6,11,32.8,14,40,8,20.8,8,27.2
St. Johns,30,23.9,39,27.4,49,39.8,41,31.4,31,23.2,32,30.5,32,29.5,32,27.4,30,30.1,20,19.7
St. Lucie,35,19.5,34,19.9,44,25.2,38,22.3,42,26.1,41,29.1,35,24.4,33,21.2,39,25.1,41,28.1
Santa Rosa,37,40.1,28,29.6,29,32.7,24,25.1,32,36,23,26.3,26,29.9,21,25.5,23,27,31,36.1
Sarasota,54,23.3,62,28.9,81,35.3,65,28.9,73,32.2,77,35.5,39,21.7,62,30.1,56,24.5,57,25.9
Seminole,48,19.5,40,16.6,56,23.1,48,21.1,53,22.1,45,18.9,44,19.8,49,22.4,40,18.8,35,16
Sumter,13,8.3,27,37.2,15,16.1,14,14.8,17,24.3,10,19.5,15,28.5,19,27.7,6,3.5,6,10.1
Suwannee,7,26.3,8,28.9,7,27.9,11,44.8,4,14,8,30.2,9,33.9,7,26.1,7,26.2,3,13.3
Taylor,3,19,1,5.7,6,40.1,6,44.5,4,29.2,4,25,2,14.4,6,36.7,2,14.2,1,6.8
Union,5,51.8,1,8.6,1,8,4,28,4,39.4,3,51,1,11,5,44.3,1,11,0,0
Volusia,87,29.2,105,34.4,100,31.1,96,36.6,71,24.5,97,35.2,82,30.9,68,24.5,88,30.7,85,32.2
Wakulla,3,14.7,3,13,4,22.3,6,31.8,6,34.7,4,29.2,5,26.4,3,28.8,4,29.4,7,41.8
Walton,5,14.2,13,33.8,9,23.6,10,26.2,14,42.7,9,30.5,7,18.6,11,31.1,10,27.6,13,35.5
Washington,4,25.8,3,22.7,7,48.7,5,35.4,7,41.2,3,23.5,4,26.8,1,6.7,3,25.3,7,48
