"Age-adjusted Suicide Deaths, Rate Per 100,000 Population, Female",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,2020,,2019,,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011,
County,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Monroe,2,7,6,14.1,5,14.6,4,12,5,16.1,1,3.1,0,0,6,17.8,3,10.6,3,5.9
Nassau,5,10.2,7,15.6,4,8.6,1,2.4,5,15.8,5,13.3,4,11.5,3,9.2,1,2.3,2,4.8
Okaloosa,10,10.9,10,9.6,7,7.2,7,6.6,6,7.7,8,8.4,7,6.9,12,12.7,8,8.3,8,8.4
Okeechobee,2,13.2,1,6,3,15.3,1,3.3,1,5.7,1,7.8,1,6.5,2,10.9,2,15.2,1,3.9
Orange,30,3.9,32,4.3,35,4.7,32,4.7,29,4.6,35,5.4,28,4.3,38,6.1,36,5.9,21,3.6
Osceola,8,4,12,6.6,9,4.6,12,6.9,9,5.4,5,3,6,3.8,4,2.4,4,2.7,6,4
Palm Beach,33,3.7,57,6.8,57,6.9,57,6.6,74,9.2,73,10,59,7,63,8.3,58,7.9,55,7.4
Pasco,32,11.1,27,8.8,21,7.2,19,6.9,26,9.3,29,10.3,21,8.9,27,10.6,16,6.2,30,12.4
Pinellas,53,9.9,50,8.8,55,10.4,48,9.7,73,13.1,49,8.8,50,9.3,44,8.7,64,12.3,36,7.5
Polk,18,4.8,29,7.7,27,6.8,25,6.8,17,4.9,20,6.1,15,4.2,14,4.6,12,3.7,19,5.8
Putnam,3,10.8,2,6.4,8,20.6,2,7.8,4,8.5,2,5.9,3,6.6,3,8.7,3,7,2,4
St. Johns,16,9.4,14,9.9,7,5.3,7,4.4,12,10,8,7.9,9,6.7,10,9.8,10,8.9,6,6.1
St. Lucie,5,3.5,13,7.1,11,5.6,10,6.6,9,5.9,13,7.8,11,6.7,8,4.2,9,6.2,13,8.6
Santa Rosa,11,11.9,7,7.3,9,8.9,7,8.2,11,13.7,6,8,6,8,8,9.5,10,10.4,1,1.1
Sarasota,24,8.8,24,9.8,23,8,23,10.7,18,8.1,19,7.1,25,10,23,9.8,24,11.6,18,8.8
Seminole,12,4.4,13,5.1,10,3.6,9,3.3,18,7.4,11,4.2,9,3.9,12,5.6,14,6,19,8.4
Sumter,3,6.8,8,10.2,6,6.1,3,10.9,2,1.1,3,7.2,5,3.4,5,11.2,4,16.2,5,11.3
Suwannee,3,10.7,4,18.2,2,9.9,2,13.2,2,8.8,2,7.7,0,0,0,0,2,9.2,4,17.2
Taylor,1,5.9,1,15.8,0,0,0,0,0,0,0,0,2,19.9,1,9.5,1,5.7,1,11.7
Union,0,0,0,0,2,51.8,0,0,2,33.2,0,0,0,0,1,17.3,1,16.5,1,15.9
Volusia,31,10.2,23,8.7,25,8.6,27,10.9,32,12.4,27,10.3,24,8.3,37,13.6,33,11.5,17,6.6
Wakulla,2,13.7,1,6.5,3,24.1,2,13.4,1,8.6,0,0,1,6.5,2,14.7,3,25.4,1,6.2
Walton,4,7.7,1,1.5,1,1.5,2,7.9,1,4.4,2,8.9,2,9.4,2,5.1,3,7.3,3,10.1
Washington,1,8.9,1,5.9,2,13.2,0,0,1,10.9,0,0,0,0,0,0,3,29.8,2,13.5
