Age-adjusted Deaths from Suicide by Firearms Discharge,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,2020,,2019,,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011,
County,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Marion,49,11.5,44,8.6,49,12.2,56,14.5,42,9.9,39,10.8,40,9.6,54,12.3,34,8.6,46,11.4
Martin,12,5,17,6.8,23,8.9,16,8.9,17,9,13,5.9,9,5.8,15,8.9,19,9,18,8.8
Monroe,11,10.3,11,11.3,23,24.6,9,9.6,10,12.6,12,12,7,7.1,13,16.8,6,7.2,17,18.2
Nassau,10,9.9,5,4.6,12,14,9,9.7,13,17.5,13,13.3,10,13.3,12,11.8,11,14.6,13,16
Okaloosa,25,12.1,23,11.2,23,10.6,28,13.7,31,17.3,21,10.2,16,8.2,27,13.6,20,10.4,16,8
Okeechobee,3,7.1,2,5.4,5,10,2,4,5,9.6,3,8.2,4,8.6,4,8.4,6,15.1,4,9.4
Orange,68,4.6,63,4.3,69,4.9,73,5.5,57,4.5,57,4.4,52,4.1,59,4.9,55,4.8,56,5.1
Osceola,18,4.5,27,7.1,17,4.6,24,6.8,19,5.7,13,4.4,19,6.2,14,4.9,13,4.8,19,7
Palm Beach,93,5.5,115,6.8,114,6.8,76,4.4,97,6.2,90,6.3,117,7.2,105,7.1,97,6.2,79,5.3
Pasco,53,8.3,60,9.9,69,11.5,54,9.1,53,8.4,52,9.3,57,10.4,49,8.8,47,9.6,59,11.2
Pinellas,89,7.9,88,7.4,102,8.2,89,8,108,9.2,110,9.4,101,8.6,86,8.4,81,7.1,82,7.3
Polk,49,6.6,74,9.4,56,7.5,56,8,44,6.3,57,8,37,5.3,52,7.9,27,3.8,45,6.6
Putnam,14,17.8,8,8.5,15,16.1,12,13.3,9,9.9,10,12,6,8.9,10,12.4,7,9.1,6,10
St. Johns,16,6.3,28,8.9,37,14.4,25,8.7,28,10.6,25,11.3,23,9.5,25,10.8,23,11,16,7.7
St. Lucie,25,6.7,23,5.6,26,7,27,7,26,7.2,28,8.9,26,8.6,26,6.8,27,8.5,30,10
Santa Rosa,31,16.5,21,10.8,24,12.6,18,9.4,27,15.3,19,10.9,15,9.3,17,10,21,11.9,20,11.4
Sarasota,37,7,42,9.8,48,9.7,50,9.7,50,10.5,52,10.9,34,7.4,35,6.6,45,9.1,38,7
Seminole,39,7.5,34,6.8,35,6.7,28,5.8,35,7.1,34,6.6,26,5.3,31,6.5,26,5.7,26,5.7
Sumter,12,6.1,22,12.9,12,6.9,8,4,11,8.4,3,0.8,10,7.7,12,8.2,5,1.2,5,2.3
Suwannee,7,12.4,8,14,6,11.4,11,22.1,5,9.2,6,10.1,8,14.8,3,5.1,6,11.4,5,11.5
Taylor,2,5.3,0,0,6,21.2,5,22.5,4,14.2,3,11.3,3,12.2,6,22,1,3.8,1,3.9
Union,2,12.8,1,6.1,0,0,1,3.6,4,21.9,3,28.1,0,0,2,12.8,0,0,0,0
Volusia,68,10.6,66,9,70,10,67,11.5,57,9.3,70,12.3,56,9.4,59,10.3,72,12,64,11.6
Wakulla,3,7.7,3,6.8,4,12,8,23.7,6,17.2,4,14.1,5,14,4,16.1,4,14.6,6,19.9
Walton,5,5.9,8,10.2,6,7.1,8,10.1,11,16.6,8,14.2,5,6.7,13,18.4,9,12.8,8,11
Washington,5,18.1,3,12.3,4,14.7,2,7.9,5,17.1,2,8.4,3,11.1,0,0,6,23.2,7,26.6
