"Suicides by Drug Poisoning, Rate Per 100,000 Population",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,2020,,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,
County,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV
Gilchrist,0,"18,027",0,,0,"17,682",0,,0,"17,578",0,,0,"16,977",0,,0,"16,862.00",0,,0,"16,837",0,,0,"16,849",0,,0,"16,869",0,,0,16929,0,,0,"16,980",0,
Glades,0,"13,230",0,,0,"13,098",0,,0,"13,193",0,,0,"13,263",0,,1,"13,101.00",7.6,,0,"12,881",0,,0,"12,862",0,,0,"12,704",0,,0,12646,0,,0,"12,776",0,
Gulf,1,"14,716",6.8,,1,"16,507",6.1,,0,"16,235",0,,0,"16,957",0,,0,"16,718.00",0,,1,"16,364",6.1,,1,"16,527",6.1,,0,"16,230",0,,0,15935,0,,0,"15,808",0,
Hamilton,0,"14,618",0,,0,"14,787",0,,0,"14,706",0,,0,"14,749",0,,0,"14,666.00",0,,1,"14,665",6.8,,0,"14,404",0,,0,"14,424",0,,0,14787,0,,0,"14,775",0,
Hardee,0,"27,571",0,,0,"27,311",0,,0,"27,436",0,,0,"27,675",0,,1,"27,643.00",3.6,,1,"27,634",3.6,,0,"27,704",0,,0,"27,681",0,,0,27755,0,,0,"27,673",0,
Hendry,1,"40,594",2.5,,1,"40,089",2.5,,0,"39,682",0,,0,"38,675",0,,0,"38,436.00",0,,2,"38,160",5.2,,0,"37,939",0,,0,"37,806",0,,0,37991,0,,0,"38,734",0,
Hernando,2,"192,189",1,,6,"189,661",3.2,2.5,3,"185,421",1.6,,8,"183,065",4.4,3,4,"180,213.00",2.2,,4,"177,434",2.3,,2,"175,338",1.1,,4,"174,053",2.3,,6,173214,3.5,2.8,7,"173,063",4,3
Highlands,4,"104,384",3.8,,4,"103,391",3.9,,6,"103,317",5.8,4.6,3,"102,590",2.9,,2,"101,727.00",2,,3,"100,955",3,,5,"100,055",5,4.4,1,"99,215",1,,0,98980,0,,3,"98,767",3,
Hillsborough,15,"1,481,163",1,0.5,21,"1,445,243",1.5,0.6,30,"1,419,285",2.1,0.8,22,"1,388,111",1.6,0.7,25,"1,359,850.00",1.8,0.7,22,"1,331,997",1.7,0.7,26,"1,307,906",2,0.8,28,"1,282,511",2.2,0.8,23,1260887,1.8,0.7,30,"1,242,491",2.4,0.9
Holmes,1,"20,184",5,,0,"20,218",0,,0,"20,404",0,,0,"20,132",0,,0,"20,037.00",0,,0,"19,907",0,,1,"19,994",5,,0,"20,031",0,,1,19997,5,,1,"19,920",5,
